navig,0.080272942647
link,0.0512353339109
page,0.0320073667899
within-pag,0.0313110744709
chang,0.0308396681762
browser,0.025002610058
paper,0.0241999314673
aspect,0.0241205112081
studi,0.0233527456194
speed,0.0222245086369
avail,0.0220082219985
web,0.0213861738459
request,0.0207369150539
user,0.0203096977371
track,0.018173275815
year,0.0177710527876
scroll,0.0174958516729
activ,0.017381814848
text,0.0172666405991
time,0.01709764329
top,0.0166907051593
half,0.0166617462543
locat,0.0165113427167
real,0.0164700730917
share,0.0159713746029
quarter,0.0157442016605
peopl,0.0157377281161
screen,0.015661417996
design,0.01548446358
corner,0.0153737010289
insight,0.0153190307572
form,0.0151212504626
common,0.0150745077828
interfac,0.0147841504411
estat,0.0145197926739
usag,0.0141544037522
type,0.014103722841
long-term,0.0135475044554
case,0.013138254904
distribut,0.012390033878
submiss,0.0118674740302
perform,0.010991341124
breakdown,0.0106137660547
age,0.0104530172128
interact,0.0102332908954
element,0.0100354643325
non-scrol,0.00995633239068
client-sid,0.00979281407525
habit,0.00903756836051
result,0.00888817115576
hyperlink,0.00852547895432
previous,0.00816461553078
beaten,0.00813714606311
requir,0.00813442856283
candid,0.00703768425753
characterist,0.00483704538456
action,0.00442974360622
individu,0.00431116268113
actionsö,0.00405105684446
import,0.00384901169591
